Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
16,137,20,5.131561917,9.136341453,2.097409123,6.441220597,.008463577,11283,295399984,24713,28536328
16,139,20,5.074701808,10.924389859,2.215466050,6.635905258,.007334323,11283,295399984,24713,28536328
16,149,20,4.659964086,9.114006126,2.063311801,6.595984649,.007019324,11283,295399984,24713,28536328
16,151,20,4.659252735,9.125765727,2.221284439,6.819333534,.007009149,11283,295399984,24713,28536328
16,157,20,5.257643297,9.910504744,2.095756765,6.572263928,.007207244,11283,295399984,24713,28536328
16,163,20,5.093143544,9.910350782,2.151490553,6.624516221,.006738537,11283,295399984,24713,28536328
16,167,20,4.907428603,9.362398715,2.102113663,6.473374950,.007987822,11283,295399984,24713,28536328
16,173,20,4.915186899,9.038173017,2.054040610,6.572780647,.006762200,11283,295399984,24713,28536328
16,179,20,4.960250423,10.058423803,2.303910108,7.178303417,.007632763,11283,295399984,24713,28536328
16,181,20,5.888130746,11.122695932,2.325994449,7.625577601,.008112101,11283,295399984,24713,28536328
256,137,20,5.249896430,10.404709604,2.218588520,6.924116432,.007410694,11283,295399984,24713,28536328
256,139,20,5.435590611,10.766037068,2.048862980,6.835965384,.006687894,11283,295399984,24713,28536328
256,149,20,5.441544194,9.990788818,2.143637632,6.490564194,.008340832,11283,295399984,24713,28536328
256,151,20,5.346806293,10.068089434,2.255717852,7.247626121,.007388555,11283,295399984,24713,28536328
256,157,20,5.351144405,10.072514205,2.252398151,7.146843370,.007093392,11283,295399984,24713,28536328
256,163,20,5.687988211,12.085441979,2.270973073,7.066207567,.006732759,11283,295399984,24713,28536328
256,167,20,5.418136528,9.918100163,2.033298049,6.883527793,.007566736,11283,295399984,24713,28536328
256,173,20,5.527677889,9.361509591,2.210491314,6.846879098,.006578112,11283,295399984,24713,28536328
256,179,20,4.825674847,9.246264576,2.016711008,7.015086028,.008273612,11283,295399984,24713,28536328
256,181,20,4.849114355,9.183652162,2.184831361,6.759872155,.007212016,11283,295399984,24713,28536328
65536,137,20,5.242948723,9.195759816,2.062793818,7.003071138,.008025101,11283,295399984,24713,28536328
65536,139,20,4.735575392,9.551988309,2.162468080,7.000162821,.008693324,11283,295399984,24713,28536328
65536,149,20,5.194887807,8.909228365,2.077402217,6.349968043,.007747547,11283,295399984,24713,28536328
65536,151,20,4.777311148,9.244397736,1.987520854,6.408032789,.007500354,11283,295399984,24713,28536328
65536,157,20,4.773714592,9.137090700,2.037485423,6.521689699,.008873030,11283,295399984,24713,28536328
65536,163,20,4.521105126,8.883176098,2.014421397,6.121769562,.006734402,11283,295399984,24713,28536328
65536,167,20,5.142039193,10.562533445,2.095667726,6.920077086,.007362121,11283,295399984,24713,28536328
65536,173,20,5.303615417,10.287880658,2.104030233,6.436889350,.008001133,11283,295399984,24713,28536328
65536,179,20,4.743580630,9.704555037,2.128568540,6.788863367,.007074369,11283,295399984,24713,28536328
65536,181,20,5.229654971,9.510027020,2.184469076,7.486205317,.006872066,11283,295399984,24713,28536328
16,137,30,8.284536517,16.766822300,3.237480001,10.649209343,.007475878,16463,481910448,36193,43461528
16,139,30,7.924811622,15.062798499,3.233792067,11.143057753,.006549448,16463,481910448,36193,43461528
16,149,30,8.006193308,15.264085733,3.379852481,11.390586463,.006933164,16463,481910448,36193,43461528
16,151,30,8.266536390,15.159149729,3.090297700,10.521804015,.007861235,16463,481910448,36193,43461528
16,157,30,8.364706155,15.110537161,3.375063445,10.680555081,.007545004,16463,481910448,36193,43461528
16,163,30,8.167111612,15.050070834,3.525181386,11.573120700,.007305714,16463,481910448,36193,43461528
16,167,30,8.466415422,15.401333897,3.346790207,10.873811025,.008073310,16463,481910448,36193,43461528
16,173,30,8.322917342,15.191128991,3.445052966,10.709208605,.007221459,16463,481910448,36193,43461528
16,179,30,8.078851308,15.854498893,3.187878083,10.287855415,.006584967,16463,481910448,36193,43461528
16,181,30,7.808057935,16.155059142,3.290597827,10.695858680,.007559452,16463,481910448,36193,43461528
256,137,30,7.748815230,14.285686328,3.299062550,10.486404621,.010963092,16463,481910448,36193,43461528
256,139,30,8.261136148,14.842302006,3.181170988,10.386917121,.006979937,16463,481910448,36193,43461528
256,149,30,7.670650889,14.885448046,3.330629521,10.567164082,.007589476,16463,481910448,36193,43461528
256,151,30,8.301679925,15.105725463,3.124257737,11.123465755,.007632358,16463,481910448,36193,43461528
256,157,30,8.164855564,15.098989409,3.356395912,11.376063747,.008971685,16463,481910448,36193,43461528
256,163,30,7.743352334,14.886478612,3.383453065,10.909457987,.007570539,16463,481910448,36193,43461528
256,167,30,7.414586358,13.847124849,3.149011688,9.985156324,.006789596,16463,481910448,36193,43461528
256,173,30,7.374719477,13.924787643,3.126522531,9.834423069,.006657112,16463,481910448,36193,43461528
256,179,30,7.311125156,14.674862172,3.290451373,10.187242766,.007130638,16463,481910448,36193,43461528
256,181,30,7.577519593,14.547066186,3.233991977,10.927235427,.006887095,16463,481910448,36193,43461528
65536,137,30,8.390005375,14.328779979,3.094548074,10.006304222,.007530611,16463,481910448,36193,43461528
65536,139,30,7.453783119,13.813835947,3.144993354,9.914875465,.008032615,16463,481910448,36193,43461528
