Param,Prime,Step,Compile Time,Setup Time,Witness Time,Proof Time,Verify Time,Proof Size,Proving Key Size,Verification Key Size,Witness Size
16,137,200,56.380951026,86.897888298,23.855968479,72.242564056,.026882438,104523,2914997232,231353,297265728
16,139,200,56.380951026,86.897888298,24.051240881,73.637184827,.026194664,104523,2914997232,231353,297265728
16,149,200,56.380951026,86.897888298,23.872460080,74.464940198,.025543565,104523,2914997232,231353,297265728
16,151,200,56.380951026,86.897888298,24.280383623,73.766424325,.025794235,104523,2914997232,231353,297265728
16,157,200,56.380951026,86.897888298,23.562315904,72.821473510,.024653017,104523,2914997232,231353,297265728
16,163,200,56.380951026,86.897888298,23.906862513,74.259376378,.023706191,104523,2914997232,231353,297265728
16,167,200,56.380951026,86.897888298,24.174476807,73.604017798,.025911026,104523,2914997232,231353,297265728
16,173,200,56.380951026,86.897888298,23.765941428,74.099073748,.024559995,104523,2914997232,231353,297265728
16,179,200,56.380951026,86.897888298,23.866793546,73.552161898,.026509218,104523,2914997232,231353,297265728
16,181,200,56.380951026,86.897888298,23.780175484,72.767050600,.024609883,104523,2914997232,231353,297265728
16,193,200,56.380951026,86.897888298,24.635341996,73.627497490,.025583070,104523,2914997232,231353,297265728
16,197,200,56.380951026,86.897888298,23.796981237,73.150277535,.027406721,104523,2914997232,231353,297265728
16,199,200,56.380951026,86.897888298,24.922314653,72.949054603,.054248590,104523,2914997232,231353,297265728
16,211,200,56.380951026,86.897888298,23.711259376,73.650974655,.024944712,104523,2914997232,231353,297265728
16,223,200,56.380951026,86.897888298,23.969372711,74.928663037,.027082322,104523,2914997232,231353,297265728
16,227,200,56.380951026,86.897888298,24.307420787,72.768688465,.025330034,104523,2914997232,231353,297265728
16,229,200,56.380951026,86.897888298,23.952763212,74.057992015,.024505096,104523,2914997232,231353,297265728
16,233,200,56.380951026,86.897888298,24.157098162,73.193105165,.024203093,104523,2914997232,231353,297265728
16,239,200,56.380951026,86.897888298,23.565504028,73.434642543,.027125451,104523,2914997232,231353,297265728
16,241,200,56.380951026,86.897888298,24.065096731,74.191613173,.028312465,104523,2914997232,231353,297265728
16,251,200,56.380951026,86.897888298,27.417122945,78.923545440,.025427265,104523,2914997232,231353,297265728
16,257,200,56.380951026,86.897888298,25.354290079,84.027549798,.025954206,104523,2914997232,231353,297265728
16,263,200,56.380951026,86.897888298,24.822456975,80.865108666,.033032555,104523,2914997232,231353,297265728
16,269,200,56.380951026,86.897888298,25.702313245,81.205467809,.024439335,104523,2914997232,231353,297265728
16,271,200,56.380951026,86.897888298,24.134213447,84.861425653,.028060723,104523,2914997232,231353,297265728
16,277,200,56.380951026,86.897888298,26.183304473,86.863662551,.030260527,104523,2914997232,231353,297265728
16,281,200,56.380951026,86.897888298,25.510519792,84.239481588,.027158698,104523,2914997232,231353,297265728
16,283,200,56.380951026,86.897888298,26.223933188,86.471557474,.027518784,104523,2914997232,231353,297265728
16,293,200,56.380951026,86.897888298,24.954121162,82.288492188,.026375281,104523,2914997232,231353,297265728
16,307,200,56.380951026,86.897888298,25.511717027,83.416884517,.026424368,104523,2914997232,231353,297265728
16,311,200,56.380951026,86.897888298,25.205660906,80.157042766,.026464052,104523,2914997232,231353,297265728
16,313,200,56.380951026,86.897888298,24.943671958,79.959294257,.027208442,104523,2914997232,231353,297265728
16,317,200,56.380951026,86.897888298,25.008435190,83.154173377,.028702813,104523,2914997232,231353,297265728
16,331,200,56.380951026,86.897888298,26.868847360,83.896136713,.026594590,104523,2914997232,231353,297265728
16,337,200,56.380951026,86.897888298,25.231016520,80.972910763,.027503984,104523,2914997232,231353,297265728
16,347,200,56.380951026,86.897888298,25.591381971,85.722613797,.027055909,104523,2914997232,231353,297265728
16,349,200,56.380951026,86.897888298,24.959279685,87.780621819,.029026587,104523,2914997232,231353,297265728
16,353,200,56.380951026,86.897888298,25.209075617,82.923590926,.026850420,104523,2914997232,231353,297265728
16,359,200,56.380951026,86.897888298,25.938852581,86.338456774,.026727998,104523,2914997232,231353,297265728
16,367,200,56.380951026,86.897888298,25.715529241,84.629615970,.024713465,104523,2914997232,231353,297265728
16,373,200,56.380951026,86.897888298,25.081756920,85.889118170,.027194151,104523,2914997232,231353,297265728
16,379,200,56.380951026,86.897888298,25.092298685,83.705959686,.028343472,104523,2914997232,231353,297265728
16,383,200,56.380951026,86.897888298,25.512454739,86.139152351,.025875023,104523,2914997232,231353,297265728
16,389,200,56.380951026,86.897888298,26.301962742,86.250079223,.027925460,104523,2914997232,231353,297265728
16,397,200,56.380951026,86.897888298,26.084640424,82.779400813,.025274547,104523,2914997232,231353,297265728
16,401,200,56.380951026,86.897888298,25.319046712,85.868621695,.025697334,104523,2914997232,231353,297265728
16,409,200,56.380951026,86.897888298,25.227496145,84.675512839,.027985648,104523,2914997232,231353,297265728
16,419,200,56.380951026,86.897888298,25.916138821,83.473293835,.026314226,104523,2914997232,231353,297265728
16,421,200,56.380951026,86.897888298,25.369997984,86.786343510,.026368177,104523,2914997232,231353,297265728
16,431,200,56.380951026,86.897888298,25.704234760,86.584758394,.025937960,104523,2914997232,231353,297265728
16,433,200,56.380951026,86.897888298,25.849616314,85.662582433,.024412764,104523,2914997232,231353,297265728
16,439,200,56.380951026,86.897888298,26.327896573,85.968378864,.026652630,104523,2914997232,231353,297265728
16,443,200,56.380951026,86.897888298,27.136709266,82.497424835,.031309221,104523,2914997232,231353,297265728
16,449,200,56.380951026,86.897888298,25.640584220,86.144694399,.029220501,104523,2914997232,231353,297265728
16,457,200,56.380951026,86.897888298,25.299547133,85.235662488,.027866234,104523,2914997232,231353,297265728
16,461,200,56.380951026,86.897888298,25.813112802,83.814629885,.026939312,104523,2914997232,231353,297265728
16,463,200,56.380951026,86.897888298,24.690145841,83.707817424,.026189506,104523,2914997232,231353,297265728
16,467,200,56.380951026,86.897888298,25.274777750,86.648178044,.028555715,104523,2914997232,231353,297265728
16,479,200,56.380951026,86.897888298,25.415082701,83.038129739,.025538549,104523,2914997232,231353,297265728
